"date_time","occ.sess","occasion","session","site","food_trt","helm_trt","trap","x","y","tag","firstcap","sex","per","nip","preg","test","head","mass","fate"
2021-05-17 06:00:00,"1.1","1",1,"asema","control","control","E1",5,1,"226001",1,"F","1","0","0",NA,14.2,22.5,"R"
2021-05-17 16:00:00,"1.2","1",2,"asema","control","control","I3",9,5,"226033",1,"F","1","0","0",NA,14.6,21.5,"R"
2021-05-17 16:00:00,"1.2","1",2,"talo","supplement","deworm","I6",9,11,"226061",1,"M",NA,NA,NA,"1",13.6,20.5,"R"
2021-05-17 16:00:00,"1.4","1",4,"talo","supplement","deworm","A6",1,11,"226058",1,"M",NA,NA,NA,"1",14,19.5,"R"
2021-05-20 06:00:00,"1.1","1",1,"ketunpesa","control","deworm","F3",6,6,"226020",1,"F","1","1","0",NA,13.7,23.5,"R"
2021-05-20 16:00:00,"1.2","1",2,"ketunpesa","control","deworm","J1",10,2,"226006",1,"M",NA,NA,NA,"1",14.4,25.5,"R"
2021-05-21 06:00:00,"1.3","1",3,"ketunpesa","control","deworm","H4",8,8,"226002",1,"M",NA,NA,NA,"1",14.1,22,"R"
2021-05-21 06:00:00,"1.3","1",3,"ketunpesa","control","deworm","K2",11,3,"226042",1,"F","1","1","1",NA,14.4,21.5,"R"
2021-05-21 06:00:00,"1.3","1",3,"ketunpesa","control","deworm","B5",2,10,"226008",1,"M",NA,NA,NA,"1",14.1,21,"R"
2021-05-23 06:00:00,"1.1","1",1,"helmipollo","control","control","J2",10,4,"226094",1,"M",NA,NA,NA,"1",13.5,24,"R"
2021-05-23 16:00:00,"1.2","1",2,"helmipollo","control","control","A2",1,3,"226048",1,"F","1","1","0",NA,13.8,21.5,"R"
2021-05-23 06:00:00,"1.1","1",1,"puro","supplement","deworm","E1",5,1,"226010",1,"M",NA,NA,NA,"1",14,20.5,"R"
2021-05-23 16:00:00,"1.2","1",2,"puro","supplement","deworm","G3",7,5,"226013",1,"M",NA,NA,NA,"1",13.5,21,"R"
2021-05-23 06:00:00,"1.1","1",1,"vaarinkorpi","supplement","control","K5",11,9,"226035",1,"F","1","1","0",NA,13.8,20,"R"
2021-05-23 06:00:00,"1.1","1",1,"vaarinkorpi","supplement","control","A6",1,11,"226095",1,"F","1","1","0",NA,12.8,17,"R"
2021-05-24 06:00:00,"1.3","1",3,"puro","supplement","deworm","E1",5,1,"226060",1,"F","1","0","0",NA,13.4,19,"R"
2021-05-24 06:00:00,"1.3","1",3,"puro","supplement","deworm","K6",11,11,"226076",1,"M",NA,NA,NA,"1",13.7,20.5,"R"
