id as number,year,occasion,site,food_trt,helm_trt,date,sess,trap,tag,id,sex,ow,per,nip,preg,test,head,mass,ticks,ear_ed,saliva_sr,smear_bs,bloodspin_bc,bloodrna_br,fecalegg_fe,fecalrna_fr,deworm,fate,handler,notes
1,2021,1,janakkala,supplement,deworm,5/14/2021,2,H4,226083,0001,M,1,NA,NA,NA,1,13.2,21.0,0,1,1,1,1,1,1,1,1,R,KF,"drug given before mouth swab, may affect RNA"
NA,2021,1,hevonen,control,control,5/15/2021,4,B5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,KF,"dumped out of trap, assumed to be a vole - NO SAMPLES TAKEN"
2,2021,1,asema,control,control,5/17/2021,1,E1,226001,0002,F,1,1,0,0,NA,14.2,22.5,0,1,1,1,1,1,1,1,0,R,JM,"mites, fleas"
3,2021,1,asema,control,control,5/17/2021,2,G4,NA,0003,M,1,NA,NA,NA,1,15.4,20.5,1,1,1,1,1,1,1,1,0,DP,SK,"died during sampling, large blood sample taken"
4,2021,1,asema,control,control,5/17/2021,2,I3,226033,0004,F,1,1,0,0,NA,14.6,21.5,1,1,1,1,1,1,1,1,0,R,JM,
5,2021,1,talo,supplement,deworm,5/17/2021,2,I6,226061,0005,M,1,NA,NA,NA,1,13.6,20.5,0,1,1,1,1,1,1,1,1,R,SB,
6,2021,1,talo,supplement,deworm,5/17/2021,4,A6,226058,0006,M,1,NA,NA,NA,1,14.0,19.5,1,1,1,1,1,1,1,1,1,R,SK,
7,2021,1,ketunpesa,control,deworm,5/20/2021,1,F3,226020,0007,F,1,1,1,0,NA,13.7,23.5,2,1,1,1,1,1,1,1,1,R,SK,
8,2021,1,ketunpesa,control,deworm,5/20/2021,2,J1,226006,0008,M,1,NA,NA,NA,1,14.4,25.5,0,1,1,1,1,1,1,1,1,R,JM,
10,2021,1,ketunpesa,control,deworm,5/21/2021,3,H4,226002,0010,M,1,NA,NA,NA,1,14.1,22.0,0,1,1,1,1,1,1,1,1,R,JM,FR not fresh
11,2021,1,ketunpesa,control,deworm,5/21/2021,3,K2,226042,0011,F,1,1,1,1,NA,14.4,21.5,0,1,1,1,1,1,1,1,1,R,JM,
12,2021,1,ketunpesa,control,deworm,5/21/2021,3,B5,226008,0012,M,1,NA,NA,NA,1,14.1,21.0,1,1,1,1,1,1,1,1,1,R,SK,
9,2021,1,kuoppa,supplement,control,5/21/2021,3,K4,226089,0009,M,1,NA,NA,NA,1,14.4,24.5,1,1,1,1,1,1,1,1,0,R,SK,
13,2021,1,helmipollo,control,control,5/23/2021,1,J2,226094,0013,M,1,NA,NA,NA,1,13.5,24.0,2,1,1,1,1,1,1,1,0,R,JV,Some blood saliva on swab
17,2021,1,helmipollo,control,control,5/23/2021,2,A2,226048,0017,F,1,1,1,0,NA,13.8,21.5,0,1,1,1,1,1,1,1,0,R,JM,FR not fresh
16,2021,1,puro,supplement,deworm,5/23/2021,1,E1,226010,0016,M,1,NA,NA,NA,1,14.0,20.5,1,1,1,1,1,1,1,1,1,R,JV,
18,2021,1,puro,supplement,deworm,5/23/2021,2,G3,226013,0018,M,1,NA,NA,NA,1,13.5,21.0,0,1,1,1,1,1,1,1,1,R,SK,FR not fresh
14,2021,1,vaarinkorpi,supplement,control,5/23/2021,1,K5,226035,0014,F,1,1,1,0,NA,13.8,20.0,0,1,1,1,1,1,1,1,0,R,JM,Vaginal plug
15,2021,1,vaarinkorpi,supplement,control,5/23/2021,1,A6,226095,0015,F,1,1,1,0,NA,12.8,17.0,0,1,1,1,1,1,1,1,0,R,SK,
21,2021,1,puro,supplement,deworm,5/24/2021,3,E1,226060,0021,F,1,1,0,0,NA,13.4,19.0,0,1,1,1,1,1,1,1,1,R,SK,
22,2021,1,puro,supplement,deworm,5/24/2021,3,K6,226076,0022,M,1,NA,NA,NA,1,13.7,20.5,0,1,1,1,1,1,1,1,1,R,JM,
19,2021,1,vaarinkorpi,supplement,control,5/24/2021,3,F2,226039,0019,M,1,NA,NA,NA,1,13.7,22.0,0,1,1,1,1,1,1,1,0,R,JV,FR was old
20,2021,1,vaarinkorpi,supplement,control,5/24/2021,3,H2,226069,0020,M,1,NA,NA,NA,1,14.1,22.5,0,1,1,1,1,1,1,1,0,R,JM,
30,2021,2,hevonen,control,control,6/11/2021,1,D5,226030,0030,F,0,1,0,0,NA,12.0,11.0,4,1,1,1,1,1,1,1,0,R,SK,New fresh FR collected 6/12/21
31,2021,2,hevonen,control,control,6/11/2021,1,A1,226017,0031,F,1,1,1,0,NA,14.0,28.5,1,1,1,1,1,1,1,1,0,R,SK,"Aggressive, sperm plug, bleeder, FE practive from trap"
34,2021,2,hevonen,control,control,6/11/2021,2,D5,226029,0034,M,1,NA,NA,NA,1,14.7,26.5,0,1,1,1,1,1,1,1,0,R,JM,
23,2021,2,janakkala,supplement,deworm,6/11/2021,1,A1,226032,0023,M,1,NA,NA,NA,0,14.0,23.5,3,1,1,1,1,1,1,1,1,R,JM,"bleeder, large aggressive male, testes not visible"
24,2021,2,janakkala,supplement,deworm,6/11/2021,1,K1,226088,0024,F,1,1,1,1,NA,14.4,26.0,2,1,1,1,1,1,1,1,1,R,JM,"sperm plug, FR not fresh"
25,2021,2,janakkala,supplement,deworm,6/11/2021,1,K4,226082,0025,M,1,NA,NA,NA,1,14.5,24.0,2,1,1,1,1,1,1,1,1,R,JM,
26,2021,2,radio,supplement,control,6/11/2021,1,A3,226097,0026,F,0,1,0,0,NA,12.0,11.0,2,1,1,1,1,1,1,1,0,R,JV,"fecal practice from trap, PIT tag coming out, eartag: 086"
27,2021,2,radio,supplement,control,6/11/2021,1,A3,226005,0027,M,1,NA,NA,NA,1,14.7,23.5,0,1,1,1,1,1,1,1,0,R,JV,
28,2021,2,radio,supplement,control,6/11/2021,1,K2,226057,0028,M,0,NA,NA,NA,0,13.8,16.5,1,1,1,1,1,1,1,1,0,R,JV,
29,2021,2,radio,supplement,control,6/11/2021,1,A2,226074,0029,M,1,NA,NA,NA,1,15.5,21.0,1,1,1,1,1,1,1,1,0,R,JV,bleeder
32,2021,2,radio,supplement,control,6/11/2021,2,K2,226012,0032,F,0,1,0,0,NA,13.6,15.0,53,NA,1,1,1,1,1,1,0,R,JV,"TT0032 - 2 engorged ticks, microscope slides left in lab"
33,2021,2,radio,supplement,control,6/11/2021,2,K1,226059,0033,F,0,1,0,0,NA,13.6,15.5,8,NA,1,1,1,1,1,1,0,R,JV,"TT0033 - 1 engorged tick, microscope slides left in lab"
43,2021,2,hevonen,control,control,6/12/2021,3,K3,226016,0043,F,0,1,0,0,NA,13.8,10.5,8,1,1,1,1,1,1,1,0,R,JV,"large blood sample, FR not fresh"
35,2021,2,janakkala,supplement,deworm,6/12/2021,3,I6,226062,0035,F,1,1,1,0,NA,14.1,26.5,0,1,1,1,1,1,1,1,1,R,JM,"did not swallow 1/2 deworm, FR not fresh"
36,2021,2,janakkala,supplement,deworm,6/12/2021,3,K4,226096,0036,M,1,NA,NA,NA,1,13.6,23.5,2,1,1,1,1,1,1,1,1,R,SK,"ate a little bit of glue, FE small amount"
37,2021,2,janakkala,supplement,deworm,6/12/2021,3,K3,226047,0037,F,0,1,0,0,NA,13.3,17.0,1,1,1,1,1,1,1,1,1,R,JM,FE small amount
38,2021,2,janakkala,supplement,deworm,6/12/2021,3,A6,226072,0038,M,0,NA,NA,NA,0,12.8,16.5,12,1,1,1,1,1,1,1,1,R,JM,"TT0038, FE small amount, FR not fresh"
44,2021,2,janakkala,supplement,deworm,6/12/2021,4,G4,226068,0044,M,1,NA,NA,NA,1,13.9,21.5,1,1,1,1,1,1,1,1,1,R,JM,FE small amount
45,2021,2,janakkala,supplement,deworm,6/12/2021,4,I5,226014,0045,M,0,NA,NA,NA,0,12.0,9.5,1,0,0,0,1,1,1,0,1,R,JM,"too small for blood, FE small amount"
39,2021,2,radio,supplement,control,6/12/2021,3,K1,226065,0039,M,1,NA,NA,NA,1,13.4,21.5,1,1,1,1,1,1,0,0,0,R,SK,"fecal practice from trap, No feces"
40,2021,2,radio,supplement,control,6/12/2021,3,F5,226063,0040,M,0,NA,NA,NA,0,13.0,15.5,11,1,1,1,1,1,1,1,0,R,JV,TT0040 - 1 engorged adult + one larvae/nymph
41,2021,2,radio,supplement,control,6/12/2021,3,K1,226071,0041,M,1,NA,NA,NA,1,14.5,24.0,10,1,1,1,1,1,1,1,0,R,SK,"bleeder, FE small amount"
42,2021,2,radio,supplement,control,6/12/2021,3,K2,226028,0042,M,0,NA,NA,NA,1,13.4,14.0,1,1,1,1,1,1,1,1,0,R,JV,
46,2021,2,radio,supplement,control,6/12/2021,4,A1,226067,0046,F,0,0,0,0,NA,13.6,18.5,8,1,1,1,1,1,1,1,0,R,JV,FR not fresh
47,2021,2,radio,supplement,control,6/12/2021,4,F5,226011,0047,F,0,1,0,0,NA,14.2,18.5,12,1,1,1,1,1,0,0,0,R,JV,
48,2021,2,radio,supplement,control,6/12/2021,4,K1,226077,0048,M,0,NA,NA,NA,1,14.0,17.0,21,1,1,1,1,1,1,1,0,R,JV,HUGE ballz
57,2021,2,asema,control,control,6/14/2021,1,C1,226023,0057,M,1,NA,NA,NA,1,13.8,22.0,9,1,1,1,1,1,1,1,0,R,SK,
60,2021,2,asema,control,control,6/14/2021,2,C1,226056,0060,F,0,0,0,0,NA,12.5,15.5,0,1,1,1,1,1,1,1,0,R,JM,
49,2021,2,kiirastuli,control,deworm,6/14/2021,1,K6,226064,0049,M,1,NA,NA,NA,1,13.4,23.0,1,1,1,1,1,1,1,1,1,R,JM,
50,2021,2,kiirastuli,control,deworm,6/14/2021,1,A5,226044,0050,M,0,NA,NA,NA,1,12.6,18.0,12,1,1,1,1,1,1,1,1,R,SK,
51,2021,2,kiirastuli,control,deworm,6/14/2021,1,C1,226081,0051,M,1,NA,NA,NA,1,13.3,25.5,4,1,1,1,1,1,1,1,1,R,SK,"blood on saliva swab, bitey"
52,2021,2,talo,supplement,deworm,6/14/2021,1,E4,226022,0052,M,1,NA,NA,NA,1,14.5,25.0,0,1,1,1,1,1,1,1,1,R,JV,"bitey, multicap"
53,2021,2,talo,supplement,deworm,6/14/2021,1,H3,226085,0053,F,0,1,0,0,NA,12.6,14.0,11,1,1,1,1,1,1,1,1,R,JM,"TT0053, 3 engorged nymphs, swab dirty"
54,2021,2,talo,supplement,deworm,6/14/2021,1,J5,226026,0054,F,0,1,0,0,NA,13.2,21.0,9,1,1,1,1,1,1,1,1,R,JM,
55,2021,2,talo,supplement,deworm,6/14/2021,1,E4,226058,0055,M,1,NA,NA,NA,1,14.4,22.5,8,NA,1,1,1,1,1,1,1,R,JV,"multicap, recapture, ED destroyed, TT0055, FE small amount"
56,2021,2,talo,supplement,deworm,6/14/2021,1,E5,226051,0056,M,1,NA,NA,NA,1,14.7,21.5,5,1,1,1,1,1,1,1,1,R,JV,"didn't get all deworm, FR not fresh, almost died twice"
NA,2021,2,talo,supplement,deworm,6/14/2021,1,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SK,"Trap malfunction, feces inside, collected for FEC practice"
58,2021,2,talo,supplement,deworm,6/14/2021,2,C2,226019,0058,F,1,1,1,1,NA,14.7,29.5,0,1,1,1,1,1,1,1,1,R,JV,FR not fresh
59,2021,2,talo,supplement,deworm,6/14/2021,2,A6,226031,0059,F,0,1,0,0,NA,13.2,20.5,13,1,1,1,1,1,1,1,1,R,SK,
65,2021,2,asema,control,control,6/15/2021,3,C1,226091,0065,M,0,NA,NA,NA,1,14.2,17.5,2,1,1,1,1,1,1,1,0,R,JV,"engorged adult ticks on back - TT0065, FR not fresh"
66,2021,2,asema,control,control,6/15/2021,4,B1,226086,0066,F,0,1,1,0,NA,14.0,22.5,1,1,1,1,1,1,1,1,0,R,JV,sperm plug
61,2021,2,kiirastuli,control,deworm,6/15/2021,3,K2,226084,0061,M,1,NA,NA,NA,1,14.6,24.5,5,1,1,1,1,1,1,1,1,R,JM,
62,2021,2,kiirastuli,control,deworm,6/15/2021,3,A5,226055,0062,F,1,1,0,1,NA,14.0,22.0,7,1,1,1,1,1,1,1,1,R,JV,
63,2021,2,talo,supplement,deworm,6/15/2021,3,A6,226000,0063,M,1,NA,NA,NA,1,13.4,21.0,2,1,1,1,1,1,1,1,1,R,SK,"multicapture, FE small amount"
64,2021,2,talo,supplement,deworm,6/15/2021,3,A6,226025,0064,M,1,NA,NA,NA,1,14.3,23.0,3,1,1,1,1,1,1,1,1,R,JM,"multicapture, FE small amount"
70,2021,2,ketunpesa,control,deworm,6/18/2021,1,D3,226034,0070,M,0,NA,NA,NA,1,13.6,20.0,1,1,1,1,1,1,1,1,1,R,SK,
71,2021,2,ketunpesa,control,deworm,6/18/2021,1,I4,226020,0071,F,1,1,1,0,NA,14.0,23.0,0,NA,1,1,1,1,1,1,1,R,JM,ED destroyed
72,2021,2,ketunpesa,control,deworm,6/18/2021,1,K3,226009,0072,M,1,NA,NA,NA,1,14.7,25.5,0,1,1,1,1,1,1,1,1,R,JM,very squirmy
73,2021,2,ketunpesa,control,deworm,6/18/2021,1,C4,226027,0073,M,0,NA,NA,NA,0,12.9,11.0,0,1,1,1,1,1,1,1,1,R,SK,
74,2021,2,ketunpesa,control,deworm,6/18/2021,1,J1,226092,0074,F,0,0,0,0,NA,13.4,23.5,12,1,1,1,1,1,1,1,1,R,JM,TT0074
NA,2021,2,ketunpesa,control,deworm,6/18/2021,1,D2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,SK,"Escape at table, white bottom trap"
68,2021,2,kuoppa,supplement,control,6/18/2021,1,K5,226043,0068,F,0,1,0,0,NA,13.9,19.0,5,1,1,1,1,1,1,0,0,R,SC/JV,FR destroyed/not collected
69,2021,2,kuoppa,supplement,control,6/18/2021,1,G3,226040,0069,M,1,NA,NA,NA,1,15.6,28.0,1,1,1,1,1,1,1,1,0,R,SC/JV,small FE
67,2021,2,mustikka,control,deworm,6/18/2021,1,J4,226015,0067,M,1,NA,NA,NA,1,14.2,26.5,4,1,1,1,1,1,1,1,1,R,JM,"bleeder, FE small amount"
75,2021,2,mustikka,control,deworm,6/18/2021,2,E4,226007,0075,F,1,1,1,0,NA,13.8,22.0,3,1,1,1,1,1,1,1,1,R,JV,
76,2021,2,mustikka,control,deworm,6/18/2021,2,C2,226098,0076,M,0,NA,NA,NA,1,13.6,18.5,12,1,1,1,1,1,1,1,1,R,JV,
