year,occasion,site,food_trt,helm_trt,date,sess,trap,tag,sex,per,nip,preg,test,fate,handler,notes,,,,,,,,,,
2021,1,vaarinkorpi,supplement,control,5/23/2021,2,K5,226035,not noted,not noted,not noted,not noted,not noted,R,SB,,,,,,,,,,,
2021,1,vaarinkorpi,supplement,control,5/24/2021,3,K5,226035,not noted,not noted,not noted,not noted,not noted,R,SB,,,,,,,,,,,
2021,1,vaarinkorpi,supplement,control,5/24/2021,4,H2,226069,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,1,helmipollo,control,control,5/24/2021,3,H3,226094,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,1,ketunpesa,control,deworm,5/21/2021,3,F3,226020,F,1,1,0,NA,R,JV,,,,,,,,,,,
2021,1,ketunpesa,control,deworm,5/21/2021,4,J1,226006,M,NA,NA,NA,1,R,SB,,,,,,,,,,,
2021,1,talo,supplement,deworm,5/18/2021,3,G6,226061,M,NA,NA,NA,1,R,SK,FEC practice 4,,,,,,,,,,
2021,1,asema,control,control,5/17/2021,2,E1,226001,F,1,0,0,NA,R,SK,,,,,,,,,,,
2021,1,asema,control,control,5/18/2021,3,J1,226033,F,1,0,0,NA,R,SK,,,,,,,,,,,
2021,1,asema,control,control,5/18/2021,3,E1,226001,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,1,asema,control,control,5/18/2021,4,E1,226001,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,1,asema,control,control,5/18/2021,4,J1,226033,not noted,not noted,not noted,not noted,not noted,R,SB,,,,,,,,,,,
2021,1,puro,supplement,deworm,5/24/2021,3,E2,226010,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,hevonen,control,control,6/12/2021,3,A6,226030,F,1,0,0,NA,R,JM,"*session left blank, JM filled in from personal notes 12.2.21",,,,,,,,,,
2021,2,hevonen,control,control,6/12/2021,3,A1,226017,F,1,1,0,NA,R,JM,,,,,,,,,,,
2021,2,hevonen,control,control,6/12/2021,3,D5,226029,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,2,hevonen,control,control,6/12/2021,4,D5,226030,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,2,hevonen,control,control,6/12/2021,4,B5,226029,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,2,janakkala,supplement,deworm,6/12/2021,4,A1,226032,not noted,not noted,not noted,not noted,not noted,AR,SK,"dropped near truck, could not recover",,,,,,,,,,
2021,2,radio,supplement,control,6/12/2021,3,A3,226005,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,radio,supplement,control,6/12/2021,4,A3,226074,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,kiirastuli,control,deworm,6/14/2021,2,A3,226044,M,NA,NA,NA,1,R,JM,dead shrew in trap,,,,,,,,,,
2021,2,kiirastuli,control,deworm,6/15/2021,3,A2,226044,not noted,not noted,not noted,not noted,not noted,R,JM,released at trap,,,,,,,,,,
2021,2,kiirastuli,control,deworm,6/15/2021,3,K6,226064,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/14/2021,2,E4,226022,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,3,H3,226022,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,3,A6,226031,F,1,0,0,NA,R,SK,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,4,G4,226051,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,4,E4,226058,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,4,D3,226085,F,1,0,0,NA,R,JV,,,,,,,,,,,
2021,2,talo,supplement,deworm,6/15/2021,4,F3,226022,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,2,asema,control,control,6/15/2021,3,G1,226023,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,2,asema,control,control,6/15/2021,4,C1,226056,F,1,0,0,NA,R,JV,,,,,,,,,,,
